workerid,trial_type,image,order,item,scramble,scope,audio,type,response
0,one_slider,images/056.JPG,aevery,filler6,default,inverse,audio/f6-default.m4a,filler,0.67
0,one_slider,images/009.JPG,everya,filler7,default,inverse,audio/f7-default.m4a,filler,0.77
0,one_slider,images/7-attacking-everya-inverse.JPG,everya,7-attacking,default,inverse,audio/7-attacking-everya-default.m4a,test,0.63
0,one_slider,images/005.JPG,everya,filler10,default,inverse,audio/f10-default.m4a,filler,0.68
0,one_slider,images/063.JPG,everya,filler3,default,inverse,audio/f3-default.m4a,filler,0.65
0,one_slider,images/3-fishpole-everya-inverse.JPG,everya,3-fish pole,default,inverse,audio/3-fish pole-everya-default.m4a,test,0.67
0,one_slider,images/6-biting-everya-inverse.JPG,everya,6-biting,default,inverse,audio/6-biting-everya-default.m4a,test,0.52
0,one_slider,images/8-petting-everya-inverse.JPG,everya,8-petting,default,inverse,audio/8-petting-everya-default.m4a,test,0.73
0,one_slider,images/053.JPG,aevery,filler1,default,surface,audio/f1-default.m4a,filler,0.74
0,one_slider,images/016.JPG,aevery,filler9,default,inverse,audio/f9-default.m4a,filler,0.71
0,one_slider,images/075.JPG,aevery,filler4,default,surface,audio/f4-default.m4a,filler,0.71
0,one_slider,images/056.JPG,everya,filler5,default,surface,audio/f5-default.m4a,filler,0.16
0,one_slider,images/1-leaning-everya-inverse.JPG,everya,1-leaning,default,inverse,audio/1-leaning-everya-default.m4a,test,0.49
0,one_slider,images/063.JPG,everya,filler2,default,surface,audio/f2-default.m4a,filler,0.49
0,one_slider,images/4-feeding-everya-inverse.JPG,everya,4-feeding,default,inverse,audio/4-feeding-everya-default.m4a,test,0.76
0,one_slider,images/2-fishing-aevery-surface.JPG,aevery,2-fishing,default,surface,audio/2-fishing-aevery-default.m4a,test,0.69
0,one_slider,images/054.JPG,aevery,filler13,default,inverse,audio/f13-default.m4a,filler,0.49
0,one_slider,images/005.JPG,everya,filler11,default,surface,audio/f11-default.m4a,filler,0.48
0,one_slider,images/009.JPG,everya,filler8,default,surface,audio/f8-default.m4a,filler,0.67
0,one_slider,images/5-bottle-aevery-inverse.JPG,aevery,5-bottle,default,inverse,audio/5-bottle-aevery-default.m4a,test,0.64
0,one_slider,images/054.JPG,aevery,filler12,default,surface,audio/f12-default.m4a,filler,0.66
1,one_slider,images/7-attacking-everya-inverse.JPG,everya,7-attacking,default,inverse,audio/7-attacking-everya-default.m4a,test,0.67
1,one_slider,images/009.JPG,everya,filler8,default,surface,audio/f8-default.m4a,filler,0.29
1,one_slider,images/4-feeding-aevery-inverse.JPG,aevery,4-feeding,default,inverse,audio/4-feeding-aevery-default.m4a,test,0.65
1,one_slider,images/063.JPG,everya,filler3,default,surface,audio/f3-default.m4a,filler,0.25
1,one_slider,images/053.JPG,everya,filler1,default,surface,audio/f1-default.m4a,filler,0.25
1,one_slider,images/005.JPG,aevery,filler11,default,inverse,audio/f11-default.m4a,filler,0.8
1,one_slider,images/063.JPG,everya,filler2,default,inverse,audio/f2-default.m4a,filler,0.81
1,one_slider,images/016.JPG,aevery,filler9,default,surface,audio/f9-default.m4a,filler,0.77
1,one_slider,images/5-bottle-aevery-inverse.JPG,aevery,5-bottle,default,inverse,audio/5-bottle-aevery-default.m4a,test,0.31
1,one_slider,images/005.JPG,everya,filler10,default,surface,audio/f10-default.m4a,filler,0.7
1,one_slider,images/2-fishing-aevery-inverse.JPG,everya,2-fishing,default,surface,audio/2-fishing-everya-default.m4a,test,0.76
1,one_slider,images/1-leaning-everya-inverse.JPG,everya,1-leaning,default,inverse,audio/1-leaning-everya-default.m4a,test,0.58
1,one_slider,images/8-petting-everya-inverse.JPG,everya,8-petting,default,inverse,audio/8-petting-everya-default.m4a,test,0.89
1,one_slider,images/056.JPG,everya,filler6,default,inverse,audio/f6-default.m4a,filler,0.68
1,one_slider,images/054.JPG,aevery,filler12,default,surface,audio/f12-default.m4a,filler,0.29
1,one_slider,images/3-fishpole-everya-inverse.JPG,everya,3-fish pole,default,inverse,audio/3-fish pole-everya-default.m4a,test,0.83
1,one_slider,images/075.JPG,aevery,filler4,default,surface,audio/f4-default.m4a,filler,0.39
1,one_slider,images/6-biting-aevery-surface.JPG,aevery,6-biting,default,surface,audio/6-biting-aevery-default.m4a,test,0.63
1,one_slider,images/009.JPG,aevery,filler7,default,surface,audio/f7-default.m4a,filler,0.76
1,one_slider,images/056.JPG,aevery,filler5,default,inverse,audio/f5-default.m4a,filler,0.28
1,one_slider,images/054.JPG,everya,filler13,default,surface,audio/f13-default.m4a,filler,0.34
2,one_slider,images/3-fishpole-aevery-surface.JPG,aevery,3-fish pole,scrambled,surface,audio/3-fish pole-aevery-scrambled.m4a,test,0.7
2,one_slider,images/2-fishing-everya-inverse.JPG,everya,2-fishing,scrambled,inverse,audio/2-fishing-everya-scrambled.m4a,test,0.63
2,one_slider,images/7-attacking-aevery-inverse.JPG,everya,7-attacking,scrambled,surface,audio/7-attacking-everya-scrambled.m4a,test,0.54
2,one_slider,images/054.JPG,everya,filler12,scrambled,inverse,audio/f12-scrambled.m4a,filler,0.86
2,one_slider,images/8-petting-everya-inverse.JPG,everya,8-petting,scrambled,inverse,audio/8-petting-everya-scrambled.m4a,test,0.5
2,one_slider,images/053.JPG,aevery,filler1,scrambled,inverse,audio/f1-scrambled.m4a,filler,0.67
2,one_slider,images/4-feeding-aevery-inverse.JPG,everya,4-feeding,scrambled,surface,audio/4-feeding-everya-scrambled.m4a,test,0.67
2,one_slider,images/075.JPG,everya,filler4,scrambled,surface,audio/f4-scrambled.m4a,filler,0.65
2,one_slider,images/063.JPG,aevery,filler3,scrambled,inverse,audio/f3-scrambled.m4a,filler,0.69
2,one_slider,images/056.JPG,aevery,filler6,scrambled,surface,audio/f6-scrambled.m4a,filler,0.57
2,one_slider,images/005.JPG,aevery,filler10,scrambled,inverse,audio/f10-scrambled.m4a,filler,0.53
2,one_slider,images/005.JPG,aevery,filler11,scrambled,inverse,audio/f11-scrambled.m4a,filler,0.66
2,one_slider,images/009.JPG,everya,filler8,scrambled,surface,audio/f8-scrambled.m4a,filler,0.69
2,one_slider,images/016.JPG,aevery,filler9,scrambled,inverse,audio/f9-scrambled.m4a,filler,0.44
2,one_slider,images/054.JPG,aevery,filler13,scrambled,inverse,audio/f13-scrambled.m4a,filler,0.71
2,one_slider,images/5-bottle-aevery-inverse.JPG,aevery,5-bottle,scrambled,inverse,audio/5-bottle-aevery-scrambled.m4a,test,0.84
2,one_slider,images/063.JPG,aevery,filler2,scrambled,inverse,audio/f2-scrambled.m4a,filler,0.56
2,one_slider,images/056.JPG,aevery,filler5,scrambled,surface,audio/f5-scrambled.m4a,filler,0.43
2,one_slider,images/009.JPG,aevery,filler7,scrambled,surface,audio/f7-scrambled.m4a,filler,0.67
2,one_slider,images/1-leaning-aevery-surface.JPG,aevery,1-leaning,scrambled,surface,audio/1-leaning-aevery-scrambled.m4a,test,0.88
2,one_slider,images/6-biting-aevery-surface.JPG,aevery,6-biting,scrambled,surface,audio/6-biting-aevery-scrambled.m4a,test,0.7
