date,workerid,amount
Wed Jul 18 15:53:40 PDT 2018,A2FDINLTXSSBZ2,0.4
Wed Jul 18 16:08:35 PDT 2018,AYJEQZWQZ471L,0.4
Wed Jul 18 16:13:45 PDT 2018,A2ZX5TLZPAQ2XD,0.4
Wed Jul 18 18:48:17 PDT 2018,A13S4RS6MYDY3H,0.4
Wed Jul 18 21:25:04 PDT 2018,A2X3QCJK0H18T8,0.4
Wed Jul 18 21:25:28 PDT 2018,A2V4MJKK1NIUQ9,0.4
Wed Jul 18 21:38:12 PDT 2018,A2Q4ILF5IEPAE3,0.4
Wed Jul 18 21:48:44 PDT 2018,A1XUHSDKYFLUK6,0.4
Wed Jul 18 21:51:17 PDT 2018,A11RF5IYJQL5B,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
