workerid,trial_type,image,order,item,scope,subexperiment,audio,type,response
0,one_slider,images/5-bottle-everya-inverse.JPG,everya,5-bottle,inverse,one,audio/5-bottle-everya-one.mp3,test,0.98
0,one_slider,images/4-feeding-aevery-inverse.JPG,everya,4-feeding,surface,one,audio/4-feeding-everya-one.mp3,test,0.96
0,one_slider,images/8-petting-everya-inverse.JPG,everya,8-petting,inverse,plain,audio/8-petting-everya-plain.mp3,test,0.35
0,one_slider,images/063.JPG,aevery,filler3,surface,plain,audio/35.mp3,filler,1
0,one_slider,images/2-fishing-aevery-inverse.JPG,aevery,2-fishing,inverse,one,audio/2-fishing-aevery-one.mp3,test,0.06
0,one_slider,images/005.JPG,aevery,filler11,surface,one,audio/38.mp3,filler,0.02
0,one_slider,images/075.JPG,aevery,filler4,surface,plain,audio/02.mp3,filler,1
0,one_slider,images/056.JPG,everya,filler6,inverse,one,audio/36.mp3,filler,0.98
0,one_slider,images/009.JPG,aevery,filler7,inverse,plain,audio/04.mp3,filler,0.23
0,one_slider,images/063.JPG,everya,filler2,inverse,plain,audio/01.mp3,filler,0.96
0,one_slider,images/016.JPG,everya,filler9,inverse,plain,audio/05.mp3,filler,0.52
0,one_slider,images/054.JPG,everya,filler12,inverse,plain,audio/07.mp3,filler,0
0,one_slider,images/6-biting-aevery-inverse.JPG,everya,6-biting,surface,one,audio/6-biting-everya-one.mp3,test,0.99
0,one_slider,images/009.JPG,aevery,filler8,surface,thereone,audio/37.mp3,filler,0.04
0,one_slider,images/3-fishpole-aevery-inverse.JPG,everya,3-fish pole,surface,one,audio/3-fish pole-everya-one.mp3,test,0.94
0,one_slider,images/054.JPG,aevery,filler13,surface,thereone,audio/39.mp3,filler,0.04
0,one_slider,images/1-leaning-aevery-inverse.JPG,everya,1-leaning,surface,plain,audio/1-leaning-everya-plain.mp3,test,0.94
0,one_slider,images/005.JPG,aevery,filler10,surface,thereone,audio/06.mp3,filler,0.05
0,one_slider,images/053.JPG,everya,filler1,surface,plain,audio/00.mp3,filler,0.97
0,one_slider,images/056.JPG,aevery,filler5,surface,there,audio/03.mp3,filler,0.93
0,one_slider,images/7-attacking-aevery-inverse.JPG,everya,7-attacking,surface,one,audio/7-attacking-everya-one.mp3,test,0.97
1,one_slider,images/005.JPG,aevery,filler10,inverse,one,audio/06.mp3,filler,0.07
1,one_slider,images/5-bottle-aevery-inverse.JPG,everya,5-bottle,surface,one,audio/5-bottle-everya-one.mp3,test,0.78
1,one_slider,images/4-feeding-aevery-surface.JPG,aevery,4-feeding,surface,plain,audio/4-feeding-aevery-plain.mp3,test,0.37
1,one_slider,images/009.JPG,everya,filler7,inverse,one,audio/04.mp3,filler,0
1,one_slider,images/063.JPG,everya,filler3,inverse,plain,audio/35.mp3,filler,0.76
1,one_slider,images/1-leaning-aevery-inverse.JPG,everya,1-leaning,surface,one,audio/1-leaning-everya-one.mp3,test,0.84
1,one_slider,images/009.JPG,aevery,filler8,inverse,there,audio/37.mp3,filler,0.02
1,one_slider,images/056.JPG,everya,filler6,inverse,plain,audio/36.mp3,filler,0.26
1,one_slider,images/016.JPG,aevery,filler9,inverse,plain,audio/05.mp3,filler,0.24
1,one_slider,images/075.JPG,everya,filler4,inverse,plain,audio/02.mp3,filler,0.8
1,one_slider,images/054.JPG,aevery,filler13,surface,there,audio/39.mp3,filler,0
1,one_slider,images/3-fishpole-aevery-inverse.JPG,aevery,3-fish pole,inverse,one,audio/3-fish pole-aevery-one.mp3,test,0
1,one_slider,images/054.JPG,aevery,filler12,inverse,one,audio/07.mp3,filler,0.25
1,one_slider,images/2-fishing-aevery-inverse.JPG,everya,2-fishing,surface,plain,audio/2-fishing-everya-plain.mp3,test,0.88
1,one_slider,images/056.JPG,aevery,filler5,inverse,one,audio/03.mp3,filler,0.13
1,one_slider,images/005.JPG,aevery,filler11,inverse,plain,audio/38.mp3,filler,0.08
1,one_slider,images/8-petting-aevery-surface.JPG,aevery,8-petting,surface,thereone,audio/8-petting-aevery-thereone.mp3,test,0.86
1,one_slider,images/053.JPG,aevery,filler1,inverse,plain,audio/00.mp3,filler,0.97
