date,workerid,amount
Sat Jul 21 09:34:03 PDT 2018,AOBTFLJU2BEPR,0.4
Sat Jul 21 09:35:00 PDT 2018,ALTMSSCYKZS8Z,0.4
Sat Jul 21 09:38:11 PDT 2018,A1BZNPQ0H7ZSER,0.4
Sat Jul 21 09:38:30 PDT 2018,A324AD5U1SV0OA,0.4
Sat Jul 21 09:47:13 PDT 2018,A1IMO5XR05U7S5,0.4
Sat Jul 21 09:51:26 PDT 2018,A30J4IZCMCR31F,0.4
Sat Jul 21 09:54:50 PDT 2018,A31681CCEVDIH3,0.4
Sat Jul 21 10:10:46 PDT 2018,A1GKD3NG1NNHRP,0.4
Sat Jul 21 10:16:50 PDT 2018,A2B5HZBQ6C3J3L,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
