workerid,trial_type,image,order,item,scope,subexperiment,audio,type,response,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,one_slider,images/063.JPG,aevery,filler3,inverse,there,audio/35.mp3,filler,0.85,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/8-petting-aevery-surface.JPG,aevery,8-petting,surface,thereone,audio/8-petting-aevery-thereone.mp3,test,0.96,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/063.JPG,aevery,filler2,surface,plain,audio/01.mp3,filler,0.84,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/054.JPG,aevery,filler12,surface,there,audio/07.mp3,filler,0.05,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/1-leaning-aevery-inverse.JPG,aevery,1-leaning,inverse,plain,audio/1-leaning-aevery-plain.mp3,test,0.03,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/005.JPG,aevery,filler11,surface,plain,audio/38.mp3,filler,0.03,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/009.JPG,aevery,filler8,inverse,plain,audio/37.mp3,filler,0.04,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/6-biting-aevery-inverse.JPG,aevery,6-biting,inverse,thereone,audio/6-biting-aevery-thereone.mp3,test,0.04,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/7-attacking-aevery-surface.JPG,aevery,7-attacking,surface,thereone,audio/7-attacking-aevery-thereone.mp3,test,0.73,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
0,one_slider,images/2-fishing-aevery-inverse.JPG,aevery,2-fishing,inverse,plain,audio/2-fishing-aevery-plain.mp3,test,0.1,English,1,Female,34,,Yes,3,Windows,1440,2560,Chrome,3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3LK5VHJO1XL44A82XEKK1OUP6RVSER,Sentences of English,Listen to sentences of English and answer questions about them.,language research UCI fun cognitive science university,$0.40,Sat Jul 21 09:27:20 PDT 2018,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Mon Aug 20 09:27:20 PDT 2018,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0HJBFP7P64MZIKVPDY9VU,3IXQG4FA2UU7PLPUBRIONPMCJUO9BS,0,Approved,Sun Jul 22 02:12:29 PDT 2018,Sat Jul 21 09:28:14 PDT 2018,Sat Jul 21 09:32:29 PDT 2018,Sun Jul 22 02:12:46 PDT 2018,,,,,[],undefined,4.20285
