workerid,trial_type,image,order,item,scramble,scope,audio,type,response
0,one_slider,images/4-feeding-aevery-surface.JPG,aevery,4-feeding,default,surface,audio/4-feeding-aevery-default.m4a,test,0
0,one_slider,images/063.JPG,aevery,filler3,default,surface,audio/f3-default.m4a,filler,1
0,one_slider,images/5-bottle-aevery-inverse.JPG,everya,5-bottle,default,surface,audio/5-bottle-everya-default.m4a,test,0.18
0,one_slider,images/056.JPG,everya,filler5,default,surface,audio/f5-default.m4a,filler,0.95
0,one_slider,images/016.JPG,aevery,filler9,default,inverse,audio/f9-default.m4a,filler,0.96
0,one_slider,images/056.JPG,everya,filler6,default,inverse,audio/f6-default.m4a,filler,0.17
0,one_slider,images/063.JPG,everya,filler2,default,inverse,audio/f2-default.m4a,filler,0.95
0,one_slider,images/054.JPG,aevery,filler12,default,surface,audio/f12-default.m4a,filler,1
0,one_slider,images/053.JPG,aevery,filler1,default,surface,audio/f1-default.m4a,filler,0.5
0,one_slider,images/3-fishpole-everya-inverse.JPG,everya,3-fish pole,default,inverse,audio/3-fish pole-everya-default.m4a,test,0.54
0,one_slider,images/054.JPG,aevery,filler13,default,surface,audio/f13-default.m4a,filler,0.54
0,one_slider,images/009.JPG,everya,filler7,default,surface,audio/f7-default.m4a,filler,0.56
0,one_slider,images/005.JPG,aevery,filler10,default,inverse,audio/f10-default.m4a,filler,0.53
0,one_slider,images/8-petting-aevery-inverse.JPG,everya,8-petting,default,surface,audio/8-petting-everya-default.m4a,test,0.48
0,one_slider,images/009.JPG,everya,filler8,default,inverse,audio/f8-default.m4a,filler,0.85
0,one_slider,images/2-fishing-aevery-inverse.JPG,everya,2-fishing,default,surface,audio/2-fishing-everya-default.m4a,test,0.91
0,one_slider,images/005.JPG,aevery,filler11,default,surface,audio/f11-default.m4a,filler,0.96
0,one_slider,images/6-biting-aevery-surface.JPG,aevery,6-biting,default,surface,audio/6-biting-aevery-default.m4a,test,0.75
0,one_slider,images/7-attacking-aevery-inverse.JPG,aevery,7-attacking,default,inverse,audio/7-attacking-aevery-default.m4a,test,0.84
0,one_slider,images/1-leaning-everya-inverse.JPG,everya,1-leaning,default,inverse,audio/1-leaning-everya-default.m4a,test,0.53
0,one_slider,images/075.JPG,aevery,filler4,default,inverse,audio/f4-default.m4a,filler,0.7
1,one_slider,images/6-biting-aevery-inverse.JPG,everya,6-biting,default,surface,audio/6-biting-everya-default.m4a,test,0.97
1,one_slider,images/2-fishing-aevery-inverse.JPG,everya,2-fishing,default,surface,audio/2-fishing-everya-default.m4a,test,0.97
1,one_slider,images/005.JPG,everya,filler10,default,surface,audio/f10-default.m4a,filler,0.02
1,one_slider,images/056.JPG,everya,filler6,default,inverse,audio/f6-default.m4a,filler,0
1,one_slider,images/009.JPG,aevery,filler8,default,inverse,audio/f8-default.m4a,filler,0.04
1,one_slider,images/4-feeding-aevery-inverse.JPG,everya,4-feeding,default,surface,audio/4-feeding-everya-default.m4a,test,0.96
1,one_slider,images/053.JPG,aevery,filler1,default,inverse,audio/f1-default.m4a,filler,0.98
1,one_slider,images/063.JPG,everya,filler3,default,inverse,audio/f3-default.m4a,filler,0.02
1,one_slider,images/7-attacking-aevery-surface.JPG,aevery,7-attacking,default,surface,audio/7-attacking-aevery-default.m4a,test,0.83
1,one_slider,images/056.JPG,everya,filler5,default,inverse,audio/f5-default.m4a,filler,0.03
1,one_slider,images/063.JPG,everya,filler2,default,inverse,audio/f2-default.m4a,filler,0.95
1,one_slider,images/054.JPG,everya,filler12,default,inverse,audio/f12-default.m4a,filler,0.02
1,one_slider,images/016.JPG,everya,filler9,default,surface,audio/f9-default.m4a,filler,0.05
1,one_slider,images/1-leaning-everya-inverse.JPG,everya,1-leaning,default,inverse,audio/1-leaning-everya-default.m4a,test,1
1,one_slider,images/005.JPG,aevery,filler11,default,surface,audio/f11-default.m4a,filler,0.01
1,one_slider,images/075.JPG,aevery,filler4,default,surface,audio/f4-default.m4a,filler,0
1,one_slider,images/8-petting-aevery-inverse.JPG,everya,8-petting,default,surface,audio/8-petting-everya-default.m4a,test,0.51
1,one_slider,images/5-bottle-aevery-inverse.JPG,everya,5-bottle,default,surface,audio/5-bottle-everya-default.m4a,test,0.98
1,one_slider,images/3-fishpole-aevery-inverse.JPG,aevery,3-fish pole,default,inverse,audio/3-fish pole-aevery-default.m4a,test,0.03
1,one_slider,images/009.JPG,everya,filler7,default,surface,audio/f7-default.m4a,filler,0.04
1,one_slider,images/054.JPG,everya,filler13,default,inverse,audio/f13-default.m4a,filler,0.61
2,one_slider,images/053.JPG,aevery,filler1,default,surface,audio/f1-default.m4a,filler,0.85
2,one_slider,images/054.JPG,aevery,filler13,default,inverse,audio/f13-default.m4a,filler,0.81
2,one_slider,images/009.JPG,aevery,filler8,default,surface,audio/f8-default.m4a,filler,0.64
2,one_slider,images/3-fishpole-aevery-inverse.JPG,everya,3-fish pole,default,surface,audio/3-fish pole-everya-default.m4a,test,0.73
2,one_slider,images/005.JPG,aevery,filler11,default,surface,audio/f11-default.m4a,filler,0.69
2,one_slider,images/6-biting-everya-inverse.JPG,everya,6-biting,default,inverse,audio/6-biting-everya-default.m4a,test,0.74
