date,workerid,amount
Wed Aug 29 08:58:02 PDT 2018,AFJDVJMLZ6P3D,0.4
Fri Aug 31 15:37:13 PDT 2018,AH9LN5QMI1LCB,0.4
Mon Sep 03 09:50:58 PDT 2018,A1F31AUY2KTEOD,0.4
Sat Sep 08 01:59:10 PDT 2018,A1YRVD6V9XCXU1,0.4
Sat Sep 08 06:20:50 PDT 2018,A1KPWQVWDRKJES,0.4
Sat Sep 08 09:47:05 PDT 2018,A24890G28GFJF7,0.4
Sat Sep 08 18:48:18 PDT 2018,A31N1DL3PH6RMJ,0.4
Tue Sep 11 02:53:40 PDT 2018,A1VKVBVPK57OD5,0.4
Tue Sep 11 07:44:30 PDT 2018,AUJYZ505E8BVQ,0.4
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
