workerid,trial_type,image,response,item,scramble,scope,quantifier,audio,type,order
0,one_slider,images/075.JPG,0.51,filler4,default,inverse,enu,audio/f4-default.m4a,filler,aevery
0,one_slider,images/063.JPG,0.46,filler3,default,inverse,enu,audio/f3-default.m4a,filler,everya
0,one_slider,images/7-attacking-aevery-inverse.JPG,0.98,7-attacking,default,inverse,enu,audio/7-attacking-enu-aevery-default.m4a,test,aevery
0,one_slider,images/053.JPG,0.85,filler1,default,surface,enu,audio/f1-default.m4a,filler,aevery
0,one_slider,images/005.JPG,0.6,filler10,default,surface,enu,audio/f10-default.m4a,filler,everya
0,one_slider,images/054.JPG,0.39,filler12,default,inverse,motun,audio/f12-default.m4a,filler,aevery
0,one_slider,images/4-feeding-aevery-surface.JPG,0.7,4-feeding,default,surface,enu,audio/4-feeding-enu-aevery-default.m4a,test,aevery
0,one_slider,images/009.JPG,0.57,filler8,default,inverse,motun,audio/f8-default.m4a,filler,aevery
0,one_slider,images/8-petting-everya-inverse.JPG,0.48,8-petting,default,inverse,motun,audio/8-petting-motun-everya-default.m4a,test,everya
0,one_slider,images/063.JPG,0.75,filler2,default,inverse,enu,audio/f2-default.m4a,filler,everya
0,one_slider,images/016.JPG,0.92,filler9,default,inverse,enu,audio/f9-default.m4a,filler,everya
0,one_slider,images/054.JPG,0.35,filler13,default,surface,enu,audio/f13-default.m4a,filler,everya
0,one_slider,images/009.JPG,0.6,filler7,default,surface,motun,audio/f7-default.m4a,filler,aevery
0,one_slider,images/6-biting-aevery-surface.JPG,0.97,6-biting,default,surface,enu,audio/6-biting-enu-aevery-default.m4a,test,aevery
0,one_slider,images/056.JPG,0.98,filler5,default,inverse,enu,audio/f5-default.m4a,filler,aevery
0,one_slider,images/005.JPG,0.67,filler11,default,inverse,motun,audio/f11-default.m4a,filler,everya
0,one_slider,images/2-fishing-aevery-inverse.JPG,0.65,2-fishing,default,inverse,motun,audio/2-fishing-motun-aevery-default.m4a,test,aevery
0,one_slider,images/3-pole-aevery-surface.JPG,0.9,3-pole,default,surface,enu,audio/3-pole-enu-aevery-default.m4a,test,aevery
0,one_slider,images/056.JPG,0.72,filler6,default,surface,motun,audio/f6-default.m4a,filler,aevery
0,one_slider,images/5-bottle-aevery-inverse.JPG,0.94,5-bottle,default,surface,motun,audio/5-bottle-motun-everya-default.m4a,test,everya
0,one_slider,images/1-leaning-everya-inverse.JPG,0.72,1-leaning,default,inverse,motun,audio/1-leaning-motun-everya-default.m4a,test,everya
1,one_slider,images/2-fishing-everya-inverse.JPG,0.5,2-fishing,scrambled,inverse,enu,audio/2-fishing-enu-everya-scrambled.m4a,test,everya
1,one_slider,images/8-petting-everya-inverse.JPG,0.51,8-petting,scrambled,inverse,motun,audio/8-petting-motun-everya-scrambled.m4a,test,everya
1,one_slider,images/054.JPG,0.51,filler12,scrambled,inverse,enu,audio/f12-scrambled.m4a,filler,aevery
1,one_slider,images/3-pole-aevery-inverse.JPG,0.5,3-pole,scrambled,surface,enu,audio/3-pole-enu-everya-scrambled.m4a,test,everya
1,one_slider,images/053.JPG,0.46,filler1,scrambled,inverse,enu,audio/f1-scrambled.m4a,filler,aevery
1,one_slider,images/5-bottle-everya-inverse.JPG,0.46,5-bottle,scrambled,inverse,motun,audio/5-bottle-motun-everya-scrambled.m4a,test,everya
1,one_slider,images/075.JPG,0.47,filler4,scrambled,surface,enu,audio/f4-scrambled.m4a,filler,everya
1,one_slider,images/6-biting-aevery-inverse.JPG,0.52,6-biting,scrambled,inverse,enu,audio/6-biting-enu-aevery-scrambled.m4a,test,aevery
1,one_slider,images/063.JPG,0.51,filler3,scrambled,surface,enu,audio/f3-scrambled.m4a,filler,everya
1,one_slider,images/054.JPG,0.52,filler13,scrambled,surface,enu,audio/f13-scrambled.m4a,filler,aevery
1,one_slider,images/056.JPG,0.5,filler5,scrambled,surface,motun,audio/f5-scrambled.m4a,filler,everya
1,one_slider,images/016.JPG,0.49,filler9,scrambled,surface,enu,audio/f9-scrambled.m4a,filler,everya
1,one_slider,images/4-feeding-aevery-surface.JPG,0.51,4-feeding,scrambled,surface,enu,audio/4-feeding-enu-aevery-scrambled.m4a,test,aevery
1,one_slider,images/063.JPG,0.75,filler2,scrambled,inverse,enu,audio/f2-scrambled.m4a,filler,aevery
1,one_slider,images/005.JPG,0.63,filler11,scrambled,inverse,enu,audio/f11-scrambled.m4a,filler,everya
1,one_slider,images/1-leaning-aevery-inverse.JPG,0.58,1-leaning,scrambled,surface,motun,audio/1-leaning-motun-everya-scrambled.m4a,test,everya
1,one_slider,images/005.JPG,0.46,filler10,scrambled,surface,enu,audio/f10-scrambled.m4a,filler,aevery
1,one_slider,images/009.JPG,0.6,filler8,scrambled,inverse,motun,audio/f8-scrambled.m4a,filler,aevery
1,one_slider,images/056.JPG,0.51,filler6,scrambled,inverse,enu,audio/f6-scrambled.m4a,filler,everya
1,one_slider,images/7-attacking-aevery-inverse.JPG,0.51,7-attacking,scrambled,surface,motun,audio/7-attacking-motun-everya-scrambled.m4a,test,everya
1,one_slider,images/009.JPG,0.63,filler7,scrambled,inverse,motun,audio/f7-scrambled.m4a,filler,everya
2,one_slider,images/5-bottle-aevery-inverse.JPG,1,5-bottle,scrambled,inverse,enu,audio/5-bottle-enu-aevery-scrambled.m4a,test,aevery
2,one_slider,images/6-biting-aevery-inverse.JPG,0.84,6-biting,scrambled,surface,enu,audio/6-biting-enu-everya-scrambled.m4a,test,everya
2,one_slider,images/3-pole-aevery-inverse.JPG,0.07,3-pole,scrambled,inverse,motun,audio/3-pole-motun-aevery-scrambled.m4a,test,aevery
2,one_slider,images/8-petting-everya-inverse.JPG,0.42,8-petting,scrambled,inverse,enu,audio/8-petting-enu-everya-scrambled.m4a,test,everya
