date,workerid,amount
Sat Oct 13 01:21:16 PDT 2018,A2FBL0J93GR9HX,0.5
Mon Oct 15 10:39:03 PDT 2018,AXJM88FSNQJXL,0.5
Thu Oct 18 12:57:12 PDT 2018,A375VVAVCIR8IU,0.5
Sat Oct 27 15:55:50 PDT 2018,A1TKEO23XGDGNY,0.5
Sat Oct 27 18:52:31 PDT 2018,A3C106C4APJUAH,0.5
Tue Oct 30 19:46:00 PDT 2018,A3O2ALJ15B6PP5,0.5
Fri Nov 02 13:24:57 PDT 2018,A1J7UIZV1HP53B,0.5
Fri Nov 09 11:45:04 PST 2018,A2VH7GLCGRZ9GP,0.5
Sun Nov 11 19:59:45 PST 2018,A20WY925Z7YPH1,0.5
,total paid to workers:,=SUM(c2:c10)
,40% paid to Amazon:,=.4*c11
,total:,=SUM(c11:c12
